name,label,max_value 
012WMNGD.jpg,0.5,0.972297
013MD9CN.jpg,2,0.955544
013XGEV4.jpg,10,0.970311
0153LGMV.jpg,0.2,0.984808
016MHIOP.jpg,1,0.971805
018H2RGU.jpg,1,0.976754
01DAU2WV.jpg,0.2,0.959056
01F89EY5.jpg,0.5,0.962501
01GDKV2P.jpg,10,0.976055
01GS3CKM.jpg,0.2,0.979141
01I9AV58.jpg,10,0.950567
01OXMGYA.jpg,0.1,0.960980
01PF48IU.jpg,2,0.951874
01SA8KW3.jpg,100,0.978459
01SMW56F.jpg,100,0.977928
01TV97HW.jpg,0.2,0.977957
021YWDXG.jpg,0.1,0.978339
023ZGF1N.jpg,50,0.985423
025VSB8Q.jpg,1,0.977381
02DRN4GY.jpg,0.2,0.956905
02GACP6G.jpg,10,0.975201
02H16MPL.jpg,2,0.951778
02MD5R1G.jpg,1,0.975560
02PU8EDI.jpg,10,0.982534
02TXGMQA.jpg,0.2,0.980363
02TZF9QB.jpg,0.5,0.976074
02VOW9RK.jpg,0.5,0.964730
02VP57HY.jpg,50,0.960718
02YG985B.jpg,50,0.975506
02YHFGZO.jpg,2,0.967999
031EWUV6.jpg,10,0.966206
031YU2D6.jpg,0.5,0.964392
036LAOCU.jpg,5,0.941204
038TQEKL.jpg,0.1,0.963495
03CGO5S1.jpg,0.1,0.983678
03CPBNAD.jpg,10,0.966844
03D867PC.jpg,100,0.980951
03F9XUSW.jpg,1,0.968050
03IC8GTR.jpg,50,0.979643
03IZMDQO.jpg,100,0.972952
03M75L49.jpg,0.1,0.976970
03OZMNT2.jpg,0.2,0.964701
03PWHRZI.jpg,0.2,0.950593
03SFL5NG.jpg,1,0.957986
03SGGHPT.jpg,5,0.949288
041UERKG.jpg,1,0.984487
042QDR83.jpg,10,0.974795
045TFOWD.jpg,1,0.964543
0479ZSGW.jpg,0.5,0.928350
049MTCRY.jpg,2,0.974821
04GQBX2Y.jpg,10,0.962700
04O7VF5E.jpg,1,0.955337
04ON5LV1.jpg,2,0.966307
