name,label
012WMNGD.jpg,0.5
013MD9CN.jpg,2
013XGEV4.jpg,10
0153LGMV.jpg,0.2
016MHIOP.jpg,1
018H2RGU.jpg,1
01DAU2WV.jpg,0.2
01F89EY5.jpg,0.5
01GDKV2P.jpg,10
01GS3CKM.jpg,0.2
01I9AV58.jpg,10
01OXMGYA.jpg,0.1
01PF48IU.jpg,2
01SA8KW3.jpg,100
01SMW56F.jpg,100
01TV97HW.jpg,0.2
021YWDXG.jpg,0.1
023ZGF1N.jpg,50
025VSB8Q.jpg,1
02DRN4GY.jpg,0.2
02GACP6G.jpg,10
02H16MPL.jpg,2
02MD5R1G.jpg,1
02PU8EDI.jpg,10
02TXGMQA.jpg,0.2
02TZF9QB.jpg,0.5
02VOW9RK.jpg,0.5
02VP57HY.jpg,50
02YG985B.jpg,50
02YHFGZO.jpg,2
031EWUV6.jpg,10
031YU2D6.jpg,0.5
036LAOCU.jpg,5
038TQEKL.jpg,0.1
03CGO5S1.jpg,0.1
03CPBNAD.jpg,10
03D867PC.jpg,100
03F9XUSW.jpg,1
03IC8GTR.jpg,50
03IZMDQO.jpg,100
03M75L49.jpg,0.1
03OZMNT2.jpg,0.2
03PWHRZI.jpg,0.2
03SFL5NG.jpg,1
03SGGHPT.jpg,5
041UERKG.jpg,1
042QDR83.jpg,10
045TFOWD.jpg,1
0479ZSGW.jpg,0.5
049MTCRY.jpg,2
04GQBX2Y.jpg,10
04O7VF5E.jpg,1
04ON5LV1.jpg,2
04PFSLY6.jpg,10
04U6QODM.jpg,10
0528QLH9.jpg,5
053KC4UA.jpg,100
054PA3IW.jpg,10
058HKEP4.jpg,100
05BGKQ23.jpg,2
05E9UYOH.jpg,0.1
05FDNGR4.jpg,50
05H3DFKX.jpg,50
05LUC9BW.jpg,5
05MBHA6U.jpg,0.5
05T1WPVE.jpg,2
05YNF4MQ.jpg,0.5
05Z7NU6L.jpg,0.2
062IKRUQ.jpg,2
063HLQ2G.jpg,50
069IDMKG.jpg,5
069TKG8I.jpg,50
06EOGI4T.jpg,50
06ESXVLQ.jpg,5
06F4LOWM.jpg,2
06FS7I4T.jpg,5
06GNWPGX.jpg,10
06ICGZSR.jpg,0.5
06LV5D2Q.jpg,1
06LVCZXR.jpg,5
06MCSK91.jpg,1
06OG8UN9.jpg,50
06PXKI3M.jpg,0.2
06QTZGNF.jpg,0.2
06R2K3VI.jpg,2
06WMNC4L.jpg,50
06XZED5Y.jpg,1
06ZRXM71.jpg,0.2
071UKSM5.jpg,0.2
0725LIOT.jpg,0.1
078EVCXN.jpg,10
07I4H1BV.jpg,50
07I4NCGS.jpg,5
07K6E9V2.jpg,1
07RK6EOL.jpg,2
07SIG3RK.jpg,0.2
07VG2GLK.jpg,1
07X2H6NT.jpg,0.2
07XWGVSL.jpg,100
081L92RS.jpg,0.1
084WI9FH.jpg,2
